,front_right,front_left,rear_right,rear_left,time,d_locrot_theta,d_local_xy,x,y,global_theta,d_trans,d_rot1,d_rot2
41,0.0,0.0,0.0,0.0,1298445275.562896,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,1298445275.589278,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,1298445275.612773,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,1298445275.639037,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,1298445275.662695,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,1298445275.689168,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,1298445275.712735,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,1298445275.739518,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,1298445275.762627,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,1298445275.789374,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,1298445275.812741,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,1298445275.839206,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,1298445275.863282,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,1298445275.889548,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,1298445275.912702,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,1298445275.937881,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,1298445275.961996,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,1298445275.99791,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,1298445276.012044,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,1298445276.038456,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,1298445276.062542,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,1298445276.08865,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,1298445276.112743,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,1298445276.138209,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,1298445276.162426,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
